chan,utime,isotime,source,heard,level,error,dti,name,symbol,latitude,longitude,speed,course,altitude,frequency,offset,tone,system,status,telemetry,comment
0,1648512004,2022-03-29T00:00:04Z,KG7QEC-11,KG7QEC-11,162(55/69),0,/,KG7QEC-11,/O,47.607667,-122.540667,0.0,0.0,67.7,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,/TA=-127.00/TB=-127.00/V=4445 BISEA
0,1648512009,2022-03-29T00:00:09Z,KG7QEC-11,KG7QEC-11,167(58/70),0,/,KG7QEC-11,/O,47.607667,-122.540667,0.0,0.0,67.1,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,/TA=-127.00/TB=-127.00/V=4405 BISEA
0,1648512014,2022-03-29T00:00:14Z,KG7QEC-11,KG7QEC-11,165(57/68),0,/,KG7QEC-11,/O,47.607667,-122.540667,0.0,0.0,66.8,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,/TA=-127.00/TB=-127.00/V=4405 BISEA
0,1648512019,2022-03-29T00:00:19Z,KG7QEC-11,KG7QEC-11,165(55/68),0,/,KG7QEC-11,/O,47.607667,-122.540667,0.0,0.0,66.8,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,/TA=-127.00/TB=-127.00/V=4405 BISEA
0,1648512024,2022-03-29T00:00:24Z,KG7QEC-11,KG7QEC-11,164(58/68),0,/,KG7QEC-11,/O,47.607667,-122.540667,0.0,0.0,68.0,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,/TA=-127.00/TB=-127.00/V=4425 BISEA
0,1648512029,2022-03-29T00:00:29Z,KG7QEC-11,KG7QEC-11,167(56/70),0,/,KG7QEC-11,/O,47.607667,-122.540667,0.0,0.0,68.6,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,/TA=-127.00/TB=-127.00/V=4405 BISEA
0,1648512034,2022-03-29T00:00:34Z,KG7QEC-11,KG7QEC-11,167(59/67),0,/,KG7QEC-11,/O,47.607667,-122.540667,0.0,0.0,68.0,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,/TA=-127.00/TB=-127.00/V=4405 BISEA
0,1648512039,2022-03-29T00:00:39Z,KG7QEC-11,KG7QEC-11,164(56/72),0,/,KG7QEC-11,/O,47.607667,-122.540667,0.0,0.0,68.9,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,/TA=-127.00/TB=-127.00/V=4384 BISEA
0,1648512044,2022-03-29T00:00:44Z,KG7QEC-11,KG7QEC-11,167(55/68),0,/,KG7QEC-11,/O,47.607667,-122.540667,0.0,0.0,69.2,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,/TA=-127.00/TB=-127.00/V=4405 BISEA
0,1648512049,2022-03-29T00:00:49Z,KG7QEC-11,KG7QEC-11,173(59/71),0,/,KG7QEC-11,/O,47.607667,-122.540667,0.0,0.0,69.5,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,/TA=-127.00/TB=-127.00/V=4405 BISEA
0,1648512054,2022-03-29T00:00:54Z,KG7QEC-11,KG7QEC-11,163(58/69),0,/,KG7QEC-11,/O,47.607667,-122.540667,0.0,0.0,71.0,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,/TA=-127.00/TB=-127.00/V=4405 BISEA
0,1648512059,2022-03-29T00:00:59Z,KG7QEC-11,KG7QEC-11,174(59/72),0,/,KG7QEC-11,/O,47.607667,-122.540667,0.0,0.0,73.5,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,/TA=-127.00/TB=-127.00/V=4445 BISEA
0,1648512064,2022-03-29T00:01:04Z,KG7QEC-11,KG7QEC-11,164(55/67),0,/,KG7QEC-11,/O,47.607667,-122.540667,0.0,0.0,75.3,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,/TA=-127.00/TB=-127.00/V=4405 BISEA
0,1648512069,2022-03-29T00:01:09Z,KG7QEC-11,KG7QEC-11,165(56/71),0,/,KG7QEC-11,/O,47.607667,-122.540667,0.0,0.0,77.1,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,/TA=-127.00/TB=-127.00/V=4405 BISEA
0,1648512074,2022-03-29T00:01:14Z,KG7QEC-11,KG7QEC-11,163(58/69),0,/,KG7QEC-11,/O,47.607667,-122.540667,0.0,0.0,77.1,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,/TA=-127.00/TB=-127.00/V=4405 BISEA
0,1648512079,2022-03-29T00:01:19Z,KG7QEC-11,KG7QEC-11,165(56/67),0,/,KG7QEC-11,/O,47.607667,-122.540667,0.0,0.0,76.5,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,/TA=-127.00/TB=-127.00/V=4405 BISEA
0,1648512084,2022-03-29T00:01:24Z,KG7QEC-11,KG7QEC-11,162(53/68),0,/,KG7QEC-11,/O,47.607667,-122.540667,0.0,0.0,77.1,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,/TA=-127.00/TB=-127.00/V=4425 BISEA
0,1648512089,2022-03-29T00:01:29Z,KG7QEC-11,KG7QEC-11,169(58/69),0,/,KG7QEC-11,/O,47.607667,-122.540667,0.0,0.0,75.6,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,/TA=-127.00/TB=-127.00/V=4405 BISEA
0,1648512094,2022-03-29T00:01:34Z,KG7QEC-11,KG7QEC-11,168(57/68),0,/,KG7QEC-11,/O,47.607667,-122.540667,0.0,0.0,73.8,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,/TA=-127.00/TB=-127.00/V=4405 BISEA
0,1648512099,2022-03-29T00:01:39Z,KG7QEC-11,KG7QEC-11,168(55/65),0,/,KG7QEC-11,/O,47.607667,-122.540667,0.0,0.0,74.4,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,/TA=-127.00/TB=-127.00/V=4405 BISEA
0,1648512104,2022-03-29T00:01:44Z,KG7QEC-11,KG7QEC-11,169(59/70),0,/,KG7QEC-11,/O,47.607667,-122.540667,0.0,0.0,76.5,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,/TA=-127.00/TB=-127.00/V=4425 BISEA
0,1648512109,2022-03-29T00:01:49Z,KG7QEC-11,KG7QEC-11,169(56/70),0,/,KG7QEC-11,/O,47.607667,-122.540667,0.0,0.0,76.8,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,/TA=-127.00/TB=-127.00/V=4405 BISEA
0,1648512114,2022-03-29T00:01:54Z,KG7QEC-11,KG7QEC-11,164(56/67),0,/,KG7QEC-11,/O,47.607667,-122.540667,0.0,0.0,75.3,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,/TA=-127.00/TB=-127.00/V=4405 BISEA
0,1648512119,2022-03-29T00:01:59Z,KG7QEC-11,KG7QEC-11,166(54/73),0,/,KG7QEC-11,/O,47.607667,-122.540667,0.0,0.0,73.8,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,/TA=-127.00/TB=-127.00/V=4405 BISEA
0,1648512124,2022-03-29T00:02:04Z,KG7QEC-11,KG7QEC-11,160(56/73),0,/,KG7QEC-11,/O,47.607667,-122.540667,0.0,0.0,72.5,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,/TA=-127.00/TB=-127.00/V=4405 BISEA
0,1648512129,2022-03-29T00:02:09Z,KG7QEC-11,KG7QEC-11,164(54/66),0,/,KG7QEC-11,/O,47.607667,-122.540667,0.0,0.0,72.5,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,/TA=-127.00/TB=-127.00/V=4405 BISEA
0,1648512134,2022-03-29T00:02:14Z,KG7QEC-11,KG7QEC-11,160(56/72),0,/,KG7QEC-11,/O,47.607667,-122.540667,0.0,0.0,73.5,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,/TA=-127.00/TB=-127.00/V=4405 BISEA
0,1648512139,2022-03-29T00:02:19Z,KG7QEC-11,KG7QEC-11,159(56/67),0,/,KG7QEC-11,/O,47.607667,-122.540667,0.0,0.0,74.1,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,/TA=-127.00/TB=-127.00/V=4405 BISEA
0,1648512144,2022-03-29T00:02:24Z,KG7QEC-11,KG7QEC-11,164(58/69),0,/,KG7QEC-11,/O,47.607667,-122.540667,0.0,0.0,73.8,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,/TA=-127.00/TB=-127.00/V=4405 BISEA
0,1648512149,2022-03-29T00:02:29Z,KG7QEC-11,KG7QEC-11,169(60/70),0,/,KG7QEC-11,/O,47.607667,-122.540667,0.0,0.0,73.2,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,/TA=-127.00/TB=-127.00/V=4405 BISEA
